principal,pid,datetime
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:23.889
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:24.458
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.81.1,2017-08-05 16:28:25.451
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.361.2,2019-04-10 15:39:48.614
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:20.636
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.129.2,2017-11-15 11:15:22.742
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.361.2,2019-04-10 15:39:49.002
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.52.1,2017-08-05 17:11:59.954
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.336.1,2019-03-18 15:35:35.256
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.81.1,2017-08-05 16:28:25.068
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.93.1,2017-08-05 16:44:40.159
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:24.985
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:26.896
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.32.1,2017-08-05 17:08:49.580
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.94.1,2017-08-05 16:45:34.348
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.359.1,2019-04-02 17:49:00.536
